TestCase,ChatOps_ms,ChatGPT_ms
1.000000000000000000e+00,3.000000000000000000e+00,4.500000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00,4.638371629995720014e+01
3.000000000000000000e+00,3.000000000000000000e+00,4.945773601727523072e+01
4.000000000000000000e+00,3.000000000000000000e+00,5.680326029274250743e+01
5.000000000000000000e+00,3.000000000000000000e+00,5.854358820162139665e+01
6.000000000000000000e+00,3.395886081030957904e+00,5.867099999442172020e+01
7.000000000000000000e+00,3.576526501753216625e+00,6.252482531310320724e+01
8.000000000000000000e+00,4.335565855148712622e+00,6.287766573428244499e+01
9.000000000000000000e+00,4.480173089575622214e+00,6.306278382490074108e+01
1.000000000000000000e+01,5.005966473490687463e+00,6.530700962764689166e+01
1.100000000000000000e+01,5.135835072498048604e+00,6.704767126853872128e+01
1.200000000000000000e+01,5.303372293081846323e+00,6.818700738199024158e+01
1.300000000000000000e+01,5.543757709322406413e+00,6.924888321097044752e+01
1.400000000000000000e+01,5.858039253241086541e+00,7.170818380512564261e+01
1.500000000000000000e+01,6.103925883196557933e+00,7.239059831869769823e+01
1.600000000000000000e+01,6.236939113569582638e+00,7.265664666369174540e+01
1.700000000000000000e+01,6.294659638174048055e+00,7.311507388095972715e+01
1.800000000000000000e+01,6.347546342111260564e+00,7.406052935641096724e+01
1.900000000000000000e+01,6.590639043243278650e+00,7.457443230000968981e+01
2.000000000000000000e+01,6.811947808060903498e+00,7.507477424438509672e+01
2.100000000000000000e+01,7.179638381536837421e+00,7.608890359986116891e+01
2.200000000000000000e+01,7.300530224625392250e+00,7.629143189330858377e+01
2.300000000000000000e+01,7.354088675339009562e+00,7.774341271159420330e+01
2.400000000000000000e+01,7.367977679552485171e+00,7.778990871250169903e+01
2.500000000000000000e+01,7.416569699049473385e+00,7.856990449612523264e+01
2.600000000000000000e+01,7.806345055445334857e+00,7.947602121135554398e+01
2.700000000000000000e+01,7.806458173193961514e+00,8.027499934964355077e+01
2.800000000000000000e+01,7.864204817480107579e+00,8.263916471433837785e+01
2.900000000000000000e+01,7.906547085983282486e+00,8.272358671515706874e+01
3.000000000000000000e+01,8.145257377048274350e+00,8.517485404446216535e+01
3.100000000000000000e+01,8.319237468486511133e+00,8.923619766246136464e+01
3.200000000000000000e+01,8.485826610708659956e+00,8.948903832717363116e+01
3.300000000000000000e+01,8.651633338111517801e+00,8.988404910723886587e+01
3.400000000000000000e+01,8.959229275247823310e+00,9.202385542952987407e+01
3.500000000000000000e+01,9.254086448293284306e+00,9.314306730477818519e+01
3.600000000000000000e+01,9.326138428230633437e+00,9.428923808117380645e+01
3.700000000000000000e+01,9.427478876344249414e+00,9.441995790442881287e+01
3.800000000000000000e+01,1.001536237924634420e+01,9.707147567231191942e+01
3.900000000000000000e+01,1.023510672216567130e+01,9.809048666598640409e+01
4.000000000000000000e+01,1.031811785021963956e+01,9.848776694774946350e+01
4.100000000000000000e+01,1.043343343510735721e+01,9.885318330202912307e+01
4.200000000000000000e+01,1.094695484385326267e+01,1.015253785496349934e+02
4.300000000000000000e+01,1.116848783580649673e+01,1.025804231121214940e+02
4.400000000000000000e+01,1.156769900954403774e+01,1.034770677728855048e+02
4.500000000000000000e+01,1.170785771269290088e+01,1.056688898599583126e+02
4.600000000000000000e+01,1.173952654173844046e+01,1.065392305723081989e+02
4.700000000000000000e+01,1.205951047443948276e+01,1.076661912989399070e+02
4.800000000000000000e+01,1.222718416552658205e+01,1.100768858660951537e+02
4.900000000000000000e+01,1.231881928012151306e+01,1.111325730554326014e+02
5.000000000000000000e+01,1.236245661560311504e+01,1.117576010991210751e+02
5.100000000000000000e+01,1.262985135955022997e+01,1.121393603105757251e+02
5.200000000000000000e+01,1.267285221261205663e+01,1.124566545138821283e+02
5.300000000000000000e+01,1.308081400572020669e+01,1.132327402213452388e+02
5.400000000000000000e+01,1.400234515886848818e+01,1.135369974633642016e+02
5.500000000000000000e+01,1.447386031544989748e+01,1.135802428398974939e+02
5.600000000000000000e+01,1.520452954722666483e+01,1.135806727849794413e+02
5.700000000000000000e+01,1.660806907417239486e+01,1.161361724905287360e+02
5.800000000000000000e+01,1.694041524227981554e+01,1.174534966530736426e+02
5.900000000000000000e+01,1.746651136245167990e+01,1.183665370868422571e+02
6.000000000000000000e+01,1.758486818845227972e+01,1.193731195388452306e+02
6.100000000000000000e+01,1.870734356471282567e+01,1.206085269389517123e+02
6.200000000000000000e+01,1.890393666338233558e+01,1.228065828712954328e+02
6.300000000000000000e+01,1.937199269486493591e+01,1.255610025210042267e+02
6.400000000000000000e+01,2.017018000465053262e+01,1.261598303878490697e+02
6.500000000000000000e+01,2.051098342250361739e+01,1.265439885391874952e+02
6.600000000000000000e+01,2.469074480263108740e+01,1.274206885764519654e+02
6.700000000000000000e+01,2.635088907454864682e+01,1.281045044239710933e+02
6.800000000000000000e+01,2.791570575623979877e+01,1.294649478319296065e+02
6.900000000000000000e+01,2.815110199748572128e+01,1.296367678116339732e+02
7.000000000000000000e+01,4.504110757061611992e+01,1.298194017857273650e+02
7.100000000000000000e+01,8.543769155036450513e+01,1.324517043570262445e+02
7.200000000000000000e+01,8.698266802222113370e+01,1.332717704230615823e+02
7.300000000000000000e+01,9.111701910643859037e+01,1.344014351639767995e+02
7.400000000000000000e+01,9.602677922211741190e+01,1.346300513651657411e+02
7.500000000000000000e+01,1.032212418099081361e+02,1.399374662218868650e+02
7.600000000000000000e+01,1.037081054135910847e+02,1.416489826069871754e+02
7.700000000000000000e+01,1.054169094125711297e+02,1.487585488730109375e+02
7.800000000000000000e+01,1.097078143447861862e+02,1.492672405076114615e+02
7.900000000000000000e+01,1.119226707289047056e+02,1.548380135833780002e+02
8.000000000000000000e+01,1.130371437723973713e+02,1.554877871544603636e+02
8.100000000000000000e+01,1.167822971135347245e+02,1.568211393816195596e+02
8.200000000000000000e+01,1.251029486556017787e+02,1.579559948108715446e+02
8.300000000000000000e+01,1.296780083527625891e+02,1.587183902337673089e+02
8.400000000000000000e+01,1.392170358123964888e+02,1.637014974278852435e+02
8.500000000000000000e+01,1.436065579451896497e+02,1.641006907543439297e+02
8.600000000000000000e+01,1.454337880984698756e+02,1.656403714825266889e+02
8.700000000000000000e+01,1.465010207594961003e+02,1.701549624236783416e+02
8.800000000000000000e+01,1.477899300417120685e+02,1.787974990682548651e+02
8.900000000000000000e+01,1.479423551160225543e+02,1.801249528789926160e+02
9.000000000000000000e+01,1.481202557750073652e+02,1.845203186692332906e+02
9.100000000000000000e+01,1.549425879347348882e+02,1.879684062813761614e+02
9.200000000000000000e+01,1.568843618854546094e+02,1.912985942425185613e+02
9.300000000000000000e+01,1.663917401950056387e+02,2.000000000000000000e+02
9.400000000000000000e+01,1.676548176899677287e+02,2.000000000000000000e+02
9.500000000000000000e+01,1.678778262024383423e+02,2.000000000000000000e+02
9.600000000000000000e+01,1.690011148204652329e+02,2.000000000000000000e+02
9.700000000000000000e+01,1.834180750153744555e+02,2.000000000000000000e+02
9.800000000000000000e+01,1.900000000000000000e+02,2.000000000000000000e+02
9.900000000000000000e+01,1.900000000000000000e+02,2.000000000000000000e+02
1.000000000000000000e+02,1.900000000000000000e+02,2.000000000000000000e+02
