case_id,expected,got,score,correct,text
BAC-01,broken_access_control,broken_access_control,0.95,1,Normal staff can access the /admin dashboard. They don't even have admin role but they can still see...
BAC-02,broken_access_control,broken_access_control,1.0,1,Customer A can see the invoice of customer B. Just by changing the invoice ID in the URL.
BAC-03,broken_access_control,broken_access_control,0.95,1,"Viewer role can delete records. They should only be able to read, not modify anything."
BAC-04,broken_access_control,broken_access_control,1.0,1,User can read another user's profile. Just by guessing the user ID they get the whole profile data.
BAC-05,broken_access_control,broken_access_control,1.0,1,If I change ?userId=10 to 11 I can see another account's data. There is no permission check.
BAC-06,broken_access_control,broken_access_control,1.0,1,Mobile app lets me access other tenant's data. API does not filter by tenant ID.
BAC-07,broken_access_control,broken_access_control,0.95,1,Helpdesk user can escalate themselves to admin via an API call. That's not supposed to happen.
BAC-08,broken_access_control,broken_access_control,1.0,1,Soft-deleted records can still be accessed via direct URL. The backend does not check if it's delete...
BAC-09,broken_access_control,broken_access_control,0.95,1,Tenant isolation is broken. Company A can see Company B's project list.
BAC-10,broken_access_control,broken_access_control,0.95,1,Unauthenticated user can call /export-all-users. They can dump all user accounts without login.
BAC-11,broken_access_control,broken_access_control,0.9,1,Intern role can approve financial transactions. They should not have approval permissions.
BAC-12,broken_access_control,broken_access_control,0.95,1,User can access /admin/logs without being logged in. This endpoint is unprotected.
INJ-01,injection,injection,0.98,1,Login works with weird payload. When I type ' OR 1=1 -- the login bypasses authentication.
INJ-02,injection,injection,0.85,1,Search bar shows weird symbols. SQL error appears in response when using %$#@.
INJ-03,injection,injection,0.98,1,Attacker sent id=1; DROP TABLE users; This caused table deletion.
INJ-04,injection,injection,0.9,1,Logs show syntax error near 'OR'. Attacker keeps sending strange SQL payloads.
INJ-05,injection,injection,0.98,1,Comment form allows <script>alert(1)</script>. Other users see the popup.
INJ-06,injection,injection,0.98,1,We found UNION SELECT payloads in logs. Looks like SQL injection.
INJ-07,injection,injection,0.99,1,API filter parameter accepts OR 1=1. It reveals data that shouldn't be visible.
INJ-08,injection,injection,1.0,1,Password reset parameter can inject SQL. User added ' OR ''=' in the link.
INJ-09,injection,injection,0.9,1,Search page reflects HTML without escaping. User injected raw HTML tags.
INJ-10,injection,injection,0.95,1,Backend executes OS commands from user input. Saw ; rm -rf / in the logs.
INJ-11,injection,injection,0.9,1,Attacker sent malicious serialized Java object. Possible remote code execution.
INJ-12,injection,injection,1.0,1,Login page throws DB error. Payload was '/**/OR/**/1=1'.
AUTH-01,broken_authentication,broken_authentication,0.95,1,Any 6 digit code is accepted as OTP. Even random numbers work.
AUTH-02,broken_authentication,broken_authentication,0.95,1,Session never expires. User stays logged in for days even without activity.
AUTH-03,broken_authentication,broken_authentication,1.0,1,User stays logged in even after password reset. Session is not invalidated.
AUTH-04,broken_authentication,broken_authentication,0.95,1,JWT tokens never expire. They have no exp claim.
AUTH-05,broken_authentication,broken_authentication,0.98,1,Passwords stored in plaintext in DB. No hashing at all.
AUTH-06,broken_authentication,broken_authentication,0.95,1,Login doesn't lock after hundreds of failed attempts. Brute force seems possible.
AUTH-07,broken_authentication,broken_authentication,1.0,1,User can reuse previous password. Old revoked passwords accepted.
AUTH-08,broken_authentication,broken_authentication,0.95,1,Remember-me cookie works on every device. It is not device-bound.
AUTH-09,broken_authentication,broken_authentication,0.95,1,Reset password link has no expiration. Anyone with link can reset any time.
AUTH-10,broken_authentication,broken_authentication,0.85,1,2FA is optional for admin accounts. Admins can skip MFA entirely.
AUTH-11,broken_authentication,broken_authentication,0.95,1,Same session ID before and after login. Session fixation possible.
AUTH-12,broken_authentication or cryptographic_failures,cryptographic_failures,1.0,1,System uses md5 without salt for passwords. Very weak password storage.
SDE-01,sensitive_data_exposure,sensitive_data_exposure,0.95,1,"Credit card numbers appear in access logs. Full PAN, not masked."
SDE-02,sensitive_data_exposure,sensitive_data_exposure,0.95,1,Customer SSNs accidentally exposed. They were in a CSV we emailed.
SDE-03,sensitive_data_exposure,sensitive_data_exposure,0.95,1,DB backup with PII left in public S3 bucket. Anyone could download it.
SDE-04,sensitive_data_exposure,sensitive_data_exposure,0.95,1,Export API returns full card numbers. No masking applied.
SDE-05,sensitive_data_exposure or broken_access_control,broken_access_control,1.0,1,HR staff can download everyone's salary. No restrictions.
SDE-06,sensitive_data_exposure,sensitive_data_exposure,0.9,1,Error page prints full stack trace including secrets. This reveals environment vars.
SDE-07,sensitive_data_exposure,sensitive_data_exposure,0.9,1,Logs include Authorization headers. Bearer tokens visible.
SDE-08,sensitive_data_exposure,sensitive_data_exposure,0.9,1,National ID returned fully in frontend response. Should be masked.
CRY-01,cryptographic_failures,cryptographic_failures,0.95,1,"Login page is HTTP, not HTTPS. Credentials sent in plain text."
CRY-02,cryptographic_failures,cryptographic_failures,0.95,1,TLS certificate expired 3 months ago. Browser warning appears.
CRY-03,cryptographic_failures,cryptographic_failures,0.9,1,Browser shows NOT SECURE on login page. TLS misconfigured.
CRY-04,cryptographic_failures,cryptographic_failures,0.95,1,We use self-signed certificate in production. Users see warnings.
CRY-05,cryptographic_failures,cryptographic_failures,0.9,1,Server still supports TLS 1.0. Weak cipher suites.
CRY-06,cryptographic_failures,cryptographic_failures,0.95,1,Hard-coded AES key '123456' in source code. Extremely weak encryption.
CRY-07,cryptographic_failures,cryptographic_failures,0.95,1,Tokens hashed using md5 without salt. Not secure.
CRY-08,cryptographic_failures,cryptographic_failures,0.95,1,TLS was disabled after update. Everything sent over HTTP.
MIS-01,security_misconfiguration,security_misconfiguration,0.95,1,"Admin panel still uses default credentials. Username: admin, password: admin."
MIS-02,security_misconfiguration,security_misconfiguration,0.95,1,Directory listing enabled on production. Users can browse source files.
MIS-03,security_misconfiguration,security_misconfiguration,0.95,1,Debug mode enabled in production. Shows stack traces to public.
MIS-04,security_misconfiguration,security_misconfiguration,0.95,1,Kibana is exposed to the internet. No authentication required.
MIS-05,security_misconfiguration,security_misconfiguration,0.9,1,Test endpoints still active in production. /test/debug-health.
MIS-06,security_misconfiguration,security_misconfiguration,0.9,1,Firewall allows SSH from anywhere. 0.0.0.0/0 allowed.
MIS-07,security_misconfiguration,security_misconfiguration,0.95,1,S3 bucket is public read/write. Anyone can upload or delete.
MIS-08,security_misconfiguration,security_misconfiguration,0.9,1,WAF disabled after deployment. Forgot to turn back on.
MIS-09,security_misconfiguration,security_misconfiguration,0.85,1,CORS set to * for everything. Very risky.
MIS-10,security_misconfiguration,security_misconfiguration,0.9,1,Stack trace shows to all users. Happens on every error.
MIS-11,security_misconfiguration,security_misconfiguration,0.95,1,Monitoring dashboard public. No login required.
MIS-12,security_misconfiguration,security_misconfiguration,0.95,1,Default accounts still active. guest/guest still works.
OTH-01,other,other,0.9,1,"Website is super slow. No logs, no suspicious activity."
OTH-02,other,other,1.0,1,UI looks bad. User wants nicer colors.
OTH-03,other,other,0.95,1,User forgot password. No security incident.
OTH-04,other,other,0.95,1,Boss says we are hacked. But no logs or evidence.
OTH-05,other,other,0.95,1,User spamming emojis in support chat. Annoying but not security.
OTH-06,other,other,0.95,1,User mistyped email. No deeper issue.
OTH-07,other,other,1.0,1,We changed domain; users are confused. Just usability issue.
OTH-08,other,other,1.0,1,Customer angry about pricing. Not a cyber issue.
